,tag,weight,type,keyword
0,상승,33,P,경방
1,증가,5,P,경방
2,체결,2,P,경방
3,최고,1,P,경방
4,진출,1,P,경방
5,전망,1,P,경방
6,기부,1,P,경방
0,중단,4,N,경방
1,직격탄,2,N,경방
