,tag,weight,type,keyword
0,출시,15,P,하나투어
1,오픈,2,P,하나투어
2,전망,2,P,하나투어
3,트렌드,1,P,하나투어
4,상승,1,P,하나투어
0,손실,5,N,하나투어
1,최악,4,N,하나투어
2,논란,3,N,하나투어
3,우려,2,N,하나투어
4,직격탄,2,N,하나투어
5,중단,1,N,하나투어
6,여파,1,N,하나투어
7,급감,1,N,하나투어
