,tag,weight,type,keyword
0,승인,9,P,셀트리온
1,상승,4,P,셀트리온
2,전망,3,P,셀트리온
3,역대,3,P,셀트리온
4,최고,3,P,셀트리온
5,주목,1,P,셀트리온
6,출시,1,P,셀트리온
0,하락,4,N,셀트리온
1,약세,1,N,셀트리온
