,date,close,open,high,low,volume,keyword
0,2018-05-04,51900.0,53000.0,53900.0,51800.0,39565391.0,삼성전자
1,2018-05-08,52600.0,52600.0,53200.0,51900.0,23104720.0,삼성전자
2,2018-05-09,50900.0,52600.0,52800.0,50900.0,16128305.0,삼성전자
3,2018-05-10,51600.0,51700.0,51700.0,50600.0,13905263.0,삼성전자
4,2018-05-11,51300.0,52000.0,52200.0,51200.0,10314997.0,삼성전자
5,2018-05-14,50100.0,51000.0,51100.0,49900.0,14909272.0,삼성전자
6,2018-05-15,49200.0,50200.0,50400.0,49100.0,18709146.0,삼성전자
7,2018-05-16,49850.0,49200.0,50200.0,49150.0,15918683.0,삼성전자
8,2018-05-17,49400.0,50300.0,50500.0,49400.0,10365440.0,삼성전자
9,2018-05-18,49500.0,49900.0,49900.0,49350.0,6706570.0,삼성전자
10,2018-05-21,50000.0,49650.0,50200.0,49100.0,9020998.0,삼성전자
11,2018-05-23,51800.0,50600.0,52000.0,50400.0,17095490.0,삼성전자
12,2018-05-24,51400.0,52000.0,52000.0,51100.0,8289275.0,삼성전자
13,2018-05-25,52700.0,51000.0,52800.0,50800.0,15207266.0,삼성전자
14,2018-05-28,52300.0,52500.0,53000.0,52000.0,9787820.0,삼성전자
15,2018-05-29,51300.0,52200.0,52500.0,51300.0,8480437.0,삼성전자
16,2018-05-30,49500.0,51300.0,51500.0,49100.0,20498098.0,삼성전자
17,2018-05-31,50700.0,50400.0,50800.0,49850.0,63491109.0,삼성전자
18,2018-06-01,51300.0,50500.0,51700.0,49950.0,13038499.0,삼성전자
19,2018-06-04,51100.0,50800.0,51200.0,50700.0,9767171.0,삼성전자
20,2018-06-05,51300.0,51100.0,51400.0,50400.0,9144100.0,삼성전자
21,2018-06-07,50600.0,51800.0,51800.0,50500.0,13590016.0,삼성전자
22,2018-06-08,49650.0,50200.0,50400.0,49600.0,16951706.0,삼성전자
23,2018-06-11,49900.0,49750.0,50300.0,49350.0,10571312.0,삼성전자
