,date,usd,jpy,eur,cny
1294,2009-06-19,"1,267.00","1,308.21","1,763.54",185.34
1295,2009-06-22,"1,276.50","1,329.69","1,770.38",186.75
1296,2009-06-23,"1,286.00","1,352.40","1,786.13",188.08
1297,2009-06-24,"1,284.00","1,346.48","1,812.11",187.88
1298,2009-06-25,"1,289.50","1,337.38","1,802.46",188.68
1299,2009-06-26,"1,284.30","1,338.79","1,800.46",187.91
1300,2009-06-29,"1,284.50","1,344.46","1,801.90",187.97
1301,2009-06-30,"1,272.00","1,330.96","1,795.17",186.21
1302,2009-07-01,"1,264.00","1,305.79","1,778.45",184.98
1303,2009-07-02,"1,269.50","1,312.55","1,790.63",185.82
1304,2009-07-03,"1,269.00","1,323.53","1,775.97",185.72
1305,2009-07-06,"1,272.50","1,336.94","1,772.59",186.19
1306,2009-07-07,"1,273.50","1,341.23","1,773.73",186.36
1307,2009-07-08,"1,279.30","1,357.20","1,778.87",187.23
1308,2009-07-09,"1,278.40","1,368.88","1,777.49",187.1
1309,2009-07-10,"1,285.00","1,383.80","1,789.75",188.08
1310,2009-07-13,"1,307.50","1,415.04","1,824.35",191.37
1311,2009-07-14,"1,294.00","1,388.26","1,812.76",189.4
1312,2009-07-15,"1,278.00","1,366.26","1,794.31",187.07
1313,2009-07-16,"1,268.00","1,354.27","1,784.71",185.61
1314,2009-07-17,"1,260.00","1,346.30","1,777.86",184.43
1315,2009-07-20,"1,247.00","1,318.04","1,773.48",182.55
1316,2009-07-21,"1,250.00","1,328.37","1,778.13",182.99
1317,2009-07-22,"1,250.00","1,337.76","1,774.13",183.0
1318,2009-07-23,"1,248.50","1,323.26","1,777.49",182.78
1319,2009-07-24,"1,248.50","1,314.90","1,775.37",182.76
1320,2009-07-27,"1,243.00","1,307.05","1,770.90",181.95
1321,2009-07-28,"1,234.50","1,299.20","1,764.10",180.71
1322,2009-07-29,"1,243.00","1,316.60","1,761.70",181.97
1323,2009-07-30,"1,236.00","1,300.37","1,738.43",180.93
1324,2009-07-31,"1,229.50","1,285.42","1,733.84",180.01
1325,2009-08-03,"1,221.50","1,286.87","1,737.95",178.83
1326,2009-08-04,"1,221.50","1,285.92","1,758.96",178.85
1327,2009-08-05,"1,225.00","1,289.61","1,762.53",179.33
1328,2009-08-06,"1,224.00","1,286.25","1,763.17",179.21
1329,2009-08-07,"1,229.00","1,288.40","1,765.09",179.9
1330,2009-08-10,"1,227.50","1,260.91","1,742.44",179.6
1331,2009-08-11,"1,237.00","1,277.36","1,753.20",181.0
1332,2009-08-12,"1,250.00","1,311.65","1,762.88",182.89
1333,2009-08-13,"1,236.00","1,283.89","1,761.79",180.88
1334,2009-08-14,"1,239.00","1,302.29","1,768.05",181.29
1335,2009-08-17,"1,257.50","1,327.46","1,775.59",184.0
1336,2009-08-18,"1,248.50","1,312.97","1,764.75",182.69
1337,2009-08-19,"1,257.50","1,334.22","1,773.45",184.0
1338,2009-08-20,"1,246.50","1,322.13","1,772.27",182.47
1339,2009-08-21,"1,249.00","1,330.14","1,785.95",182.84
1340,2009-08-24,"1,242.50","1,308.86","1,777.89",181.89
1341,2009-08-25,"1,247.00","1,324.20","1,780.59",182.54
1342,2009-08-26,"1,246.50","1,323.81","1,785.61",182.48
1343,2009-08-27,"1,248.00","1,334.05","1,778.15",182.7
1344,2009-08-28,"1,245.50","1,325.71","1,785.42",182.34
1345,2009-08-31,"1,249.50","1,346.88","1,784.54",182.94
1346,2009-09-01,"1,242.50","1,332.87","1,784.60",181.91
1347,2009-09-02,"1,250.50","1,347.96","1,777.46",183.07
1348,2009-09-03,"1,245.50","1,348.67","1,780.19",182.34
1349,2009-09-04,"1,241.50","1,338.11","1,773.23",181.76
1350,2009-09-07,"1,234.50","1,324.71","1,772.12",180.79
1351,2009-09-08,"1,229.50","1,331.64","1,773.18",180.08
