,date,usd,jpy,eur,cny
0,2004-04-12,"1,141.80","1,074.13","1,378.38",137.95
1,2004-04-13,"1,141.10","1,082.12","1,370.23",137.86
2,2004-04-14,"1,151.30","1,072.87","1,375.23",139.1
3,2004-04-16,"1,160.10","1,070.20","1,392.00",140.16
4,2004-04-19,"1,153.60","1,069.63","1,391.47",139.38
5,2004-04-20,"1,151.40","1,065.03","1,374.08",139.11
6,2004-04-21,"1,154.80","1,062.18","1,368.55",139.52
7,2004-04-22,"1,159.70","1,059.18","1,369.49",140.11
8,2004-04-23,"1,158.30","1,058.58","1,380.00",139.94
9,2004-04-26,"1,155.00","1,058.27","1,363.59",139.54
10,2004-04-27,"1,152.00","1,061.95","1,369.96",139.18
11,2004-04-28,"1,156.40","1,058.30","1,374.73",139.72
12,2004-04-29,"1,170.70","1,061.09","1,383.77",141.44
13,2004-04-30,"1,173.30","1,063.35","1,402.56",141.76
14,2004-05-03,"1,171.80","1,064.11","1,404.05",141.57
15,2004-05-04,"1,169.80","1,059.12","1,398.26",141.33
16,2004-05-06,"1,166.10","1,067.76","1,419.03",140.88
17,2004-05-07,"1,171.10","1,060.30","1,411.18",141.49
18,2004-05-10,"1,183.10","1,048.01","1,400.44",142.94
19,2004-05-11,"1,188.30","1,048.35","1,411.34",143.57
20,2004-05-12,"1,181.50","1,046.96","1,401.26",142.74
21,2004-05-13,"1,185.50","1,039.18","1,406.24",143.22
22,2004-05-14,"1,187.00","1,036.77","1,399.71",143.41
23,2004-05-17,"1,183.50","1,040.99","1,417.83",142.98
24,2004-05-18,"1,182.00","1,038.76","1,416.75",142.8
25,2004-05-19,"1,173.40","1,036.21","1,409.61",141.76
26,2004-05-20,"1,179.80","1,038.92","1,406.68",142.54
27,2004-05-21,"1,175.30","1,050.03","1,411.89",141.99
28,2004-05-24,"1,177.20","1,044.54","1,405.81",142.22
29,2004-05-25,"1,177.70","1,045.26","1,419.72",142.28
30,2004-05-27,"1,169.80","1,050.66","1,423.06",141.33
31,2004-05-28,"1,165.00","1,053.54","1,431.20",140.75
32,2004-05-31,"1,160.10","1,059.55","1,416.25",140.16
33,2004-06-01,"1,160.60","1,058.84","1,421.74",140.22
34,2004-06-02,"1,164.80","1,053.74","1,430.14",140.73
35,2004-06-03,"1,164.40","1,051.57","1,423.13",140.68
36,2004-06-04,"1,163.80","1,047.05","1,420.77",140.61
37,2004-06-07,"1,159.20","1,052.10","1,429.18",140.06
38,2004-06-08,"1,157.90","1,054.84","1,427.57",139.9
39,2004-06-09,"1,154.20","1,058.41","1,413.55",139.45
40,2004-06-10,"1,159.40","1,053.43","1,398.47",140.08
41,2004-06-11,"1,164.00","1,053.78","1,395.87",140.63
42,2004-06-14,"1,162.40","1,047.02","1,392.32",140.44
43,2004-06-15,"1,163.40","1,050.00","1,403.76",140.56
44,2004-06-16,"1,157.10","1,055.17","1,406.17",139.8
45,2004-06-17,"1,157.30","1,055.45","1,391.54",139.83
46,2004-06-18,"1,160.00","1,059.07","1,392.23",140.15
47,2004-06-21,"1,156.70","1,066.08","1,403.60",139.76
48,2004-06-22,"1,158.40","1,065.69","1,400.27",139.96
49,2004-06-23,"1,159.90","1,068.64","1,413.69",140.14
50,2004-06-24,"1,155.70","1,067.42","1,394.35",139.63
51,2004-06-25,"1,149.80","1,069.58","1,397.47",138.92
52,2004-06-28,"1,152.50","1,068.81","1,398.44",139.25
53,2004-06-29,"1,151.90","1,063.82","1,402.09",139.18
54,2004-06-30,"1,155.50","1,061.65","1,394.69",139.61
55,2004-07-01,"1,152.70","1,065.93","1,403.30",139.27
56,2004-07-02,"1,155.10","1,059.53","1,406.45",139.56
57,2004-07-05,"1,152.70","1,059.95","1,421.51",139.27
58,2004-07-06,"1,154.90","1,055.76","1,422.26",139.53
59,2004-07-07,"1,152.00","1,059.60","1,422.26",139.18
