,tag,weight,type,keyword
0,협력,6,P,대한항공
1,돌파,6,P,대한항공
2,제휴,5,P,대한항공
3,체결,1,P,대한항공
4,출시,1,P,대한항공
0,과징금,8,N,대한항공
1,논란,8,N,대한항공
2,우려,7,N,대한항공
3,위반,3,N,대한항공
4,불만,2,N,대한항공
5,소송,2,N,대한항공
6,매각,1,N,대한항공
7,중단,1,N,대한항공
