,tag,weight,type,keyword
0,돌파,18,P,삼성전자
1,최고,16,P,삼성전자
2,역대,12,P,삼성전자
3,인기,6,P,삼성전자
4,출시,3,P,삼성전자
5,협력,2,P,삼성전자
6,상승,1,P,삼성전자
0,소송,4,N,삼성전자
1,우려,4,N,삼성전자
2,리스크,2,N,삼성전자
3,울상,1,N,삼성전자
4,문제,1,N,삼성전자
5,침해,1,N,삼성전자
